# Spectral unit: Wavelength [um]
# Wave/freq Total
2.111192588999999842e+00 9.549699999999999855e-01
2.115414974000000115e+00 9.386100000000000554e-01
2.119645804000000133e+00 9.114600000000000479e-01
2.123885095999999972e+00 9.175400000000000222e-01
2.128132866000000067e+00 8.996899999999999897e-01
2.132389132000000131e+00 9.287800000000000500e-01
2.136653910000000156e+00 9.679400000000000226e-01
2.140927217999999854e+00 9.664099999999999913e-01
2.145209072000000106e+00 9.790900000000000158e-01
2.149499490000000179e+00 9.769799999999999596e-01
2.153798489000000149e+00 8.994799999999999462e-01
2.158106086000000090e+00 8.888399999999999634e-01
2.162422298000000076e+00 9.274299999999999766e-01
2.166747142999999820e+00 8.945400000000000018e-01
2.171080637000000202e+00 8.988099999999999978e-01
2.175422799000000129e+00 9.217999999999999527e-01
2.179773643999999955e+00 9.067300000000000360e-01
2.184133190999999918e+00 8.966899999999999871e-01
2.188501458000000177e+00 8.521499999999999631e-01
2.192878460999999835e+00 8.790099999999999580e-01
2.197264217999999936e+00 9.150099999999999900e-01
2.201658746000000111e+00 8.749700000000000255e-01
2.206062064000000156e+00 8.877399999999999736e-01
2.210474188000000062e+00 9.183299999999999796e-01
2.214895135999999987e+00 9.454299999999999926e-01
2.219324926000000087e+00 9.391899999999999693e-01
2.223763576000000075e+00 9.409499999999999531e-01
2.228211103000000026e+00 9.562599999999999989e-01
2.232667526000000180e+00 9.669600000000000417e-01
2.237132861000000084e+00 9.731699999999999795e-01
2.241607125999999894e+00 9.733800000000000230e-01
2.246090340999999935e+00 9.748099999999999543e-01
2.250582521000000114e+00 9.695300000000000029e-01
2.255083685999999865e+00 9.742800000000000349e-01
2.259593853999999791e+00 9.759799999999999587e-01
2.264113040999999882e+00 9.751999999999999558e-01
2.268641267000000017e+00 9.720499999999999696e-01
2.273178549999999909e+00 9.614000000000000323e-01
2.277724907000000076e+00 9.660499999999999643e-01
2.282280356999999871e+00 9.746799999999999908e-01
2.286844917999999893e+00 9.700699999999999878e-01
2.291418607000000218e+00 9.656200000000000339e-01
2.296001444999999919e+00 9.272899999999999476e-01
2.300593447999999874e+00 9.262599999999999723e-01
2.305194633999999798e+00 9.545000000000000151e-01
2.309805024000000095e+00 9.526000000000000023e-01
2.314424633999999870e+00 9.491699999999999582e-01
2.319053482999999805e+00 9.306600000000000428e-01
2.323691590000000140e+00 8.608900000000000441e-01
2.328338973000000145e+00 8.736099999999999977e-01
2.332995651000000059e+00 9.156400000000000095e-01
2.337661642000000040e+00 9.144499999999999851e-01
2.342336965999999965e+00 8.302599999999999980e-01
2.347021639999999909e+00 8.117699999999999916e-01
2.351715683000000112e+00 8.238999999999999657e-01
2.356419113999999926e+00 7.467200000000000504e-01
2.361131953000000117e+00 7.615399999999999947e-01
2.365854215999999788e+00 7.927499999999999547e-01
2.370585924999999872e+00 7.523199999999999887e-01
2.375327096999999998e+00 6.945599999999999552e-01
2.380077750999999964e+00 6.025099999999999900e-01
2.384837906000000007e+00 5.329399999999999693e-01
2.389607582000000008e+00 5.330799999999999983e-01
2.394386797000000122e+00 5.812300000000000244e-01
2.399175570999999785e+00 5.862300000000000288e-01
2.403973922000000041e+00 6.160900000000000265e-01
2.408781869999999881e+00 5.136100000000000110e-01
2.413599433999999988e+00 4.291900000000000159e-01
2.418426633000000159e+00 3.593100000000000183e-01
2.423263486000000189e+00 2.991599999999999815e-01
2.428110012999999956e+00 3.904199999999999893e-01
2.432966233000000145e+00 5.178000000000000380e-01
2.437832165000000106e+00 3.524200000000000110e-01
2.442707829999999802e+00 3.765999999999999903e-01
2.447593245000000195e+00 3.908300000000000107e-01
2.452488431999999996e+00 1.557399999999999896e-01
2.457393408999999806e+00 1.963799999999999990e-01
2.462308194999999866e+00 3.535499999999999754e-01
2.467232812000000219e+00 3.275000000000000133e-01
2.472167277000000052e+00 1.965800000000000047e-01
2.477111611999999852e+00 1.521099999999999952e-01
2.482065835000000220e+00 1.010999999999999954e-01
2.487029966999999786e+00 4.433000000000000135e-02
2.492004027000000121e+00 1.933999999999999955e-02
2.496988035000000217e+00 8.510000000000000203e-03
2.501982010999999950e+00 3.858000000000000318e-02
2.506985975000000089e+00 3.436000000000000165e-02
2.511999947000000066e+00 1.447000000000000022e-02
2.517023947000000206e+00 1.401999999999999948e-02
2.522057994999999941e+00 2.779999999999999919e-03
2.527102111000000040e+00 1.030000000000000100e-03
2.532156314999999935e+00 2.000000000000000164e-05
2.537220628000000033e+00 0.000000000000000000e+00
2.542295069000000129e+00 0.000000000000000000e+00
2.547379659000000185e+00 0.000000000000000000e+00
2.552474418000000078e+00 0.000000000000000000e+00
2.557579367000000214e+00 0.000000000000000000e+00
2.562694526000000028e+00 0.000000000000000000e+00
2.567819914999999842e+00 0.000000000000000000e+00
2.572955555000000061e+00 0.000000000000000000e+00
2.578101466000000119e+00 0.000000000000000000e+00
2.583257668999999979e+00 0.000000000000000000e+00
2.588424183999999961e+00 0.000000000000000000e+00
2.593601033000000111e+00 0.000000000000000000e+00
2.598788234999999780e+00 0.000000000000000000e+00
2.603985810999999817e+00 0.000000000000000000e+00
2.609193782999999822e+00 0.000000000000000000e+00
2.614412170000000035e+00 0.000000000000000000e+00
2.619640995000000139e+00 0.000000000000000000e+00
2.624880276999999928e+00 0.000000000000000000e+00
2.630130036999999810e+00 0.000000000000000000e+00
2.635390296999999826e+00 0.000000000000000000e+00
2.640661077999999939e+00 0.000000000000000000e+00
2.645942400000000028e+00 0.000000000000000000e+00
2.651234285000000135e+00 0.000000000000000000e+00
2.656536753000000139e+00 0.000000000000000000e+00
2.661849827000000168e+00 0.000000000000000000e+00
2.667173526000000017e+00 0.000000000000000000e+00
2.672507873999999894e+00 0.000000000000000000e+00
2.677852888999999958e+00 0.000000000000000000e+00
2.683208594999999974e+00 0.000000000000000000e+00
2.688575011999999820e+00 0.000000000000000000e+00
2.693952161999999984e+00 0.000000000000000000e+00
2.699340067000000065e+00 0.000000000000000000e+00
2.704738746999999943e+00 0.000000000000000000e+00
2.710148224000000106e+00 0.000000000000000000e+00
2.715568520999999791e+00 0.000000000000000000e+00
2.720999658000000210e+00 0.000000000000000000e+00
2.726441657000000074e+00 0.000000000000000000e+00
2.731894539999999871e+00 0.000000000000000000e+00
2.737358329000000090e+00 0.000000000000000000e+00
2.742833045999999886e+00 0.000000000000000000e+00
2.748318712000000108e+00 0.000000000000000000e+00
2.753815349999999995e+00 0.000000000000000000e+00
2.759322979999999870e+00 0.000000000000000000e+00
2.764841625999999941e+00 0.000000000000000000e+00
2.770371309000000171e+00 0.000000000000000000e+00
2.775912051999999797e+00 0.000000000000000000e+00
2.781463876000000113e+00 0.000000000000000000e+00
2.787026803999999913e+00 0.000000000000000000e+00
2.792600858000000130e+00 0.000000000000000000e+00
2.798186058999999837e+00 0.000000000000000000e+00
2.803782431000000130e+00 0.000000000000000000e+00
2.809389996000000167e+00 0.000000000000000000e+00
2.815008775999999990e+00 0.000000000000000000e+00
2.820638794000000171e+00 0.000000000000000000e+00
2.826280070999999783e+00 0.000000000000000000e+00
2.831932632000000005e+00 2.000000000000000164e-05
2.837596496999999829e+00 2.000000000000000164e-05
2.843271689999999907e+00 0.000000000000000000e+00
2.848958232999999840e+00 3.800000000000000209e-04
2.854656149999999837e+00 3.400000000000000244e-04
2.860365461999999859e+00 0.000000000000000000e+00
2.866086193000000115e+00 1.069999999999999988e-03
2.871818365000000206e+00 9.700000000000000505e-04
2.877562001999999897e+00 1.770000000000000089e-03
2.883317126000000119e+00 3.559999999999999797e-03
2.889083760000000112e+00 3.089999999999999865e-03
2.894861928000000084e+00 6.590000000000000371e-03
2.900651652000000080e+00 3.237999999999999906e-02
2.906452954999999783e+00 2.503999999999999976e-02
2.912265860999999845e+00 2.155999999999999930e-02
2.918090392999999949e+00 2.492000000000000118e-02
2.923926573000000140e+00 2.196999999999999995e-02
2.929774425999999821e+00 4.816999999999999754e-02
2.935633975000000007e+00 1.044899999999999995e-01
2.941505242999999936e+00 1.018400000000000000e-01
2.947388253999999819e+00 3.821000000000000091e-02
2.953283030000000142e+00 4.694000000000000256e-02
2.959189595999999867e+00 6.401999999999999358e-02
2.965107976000000090e+00 8.737000000000000322e-02
2.971038190999999884e+00 9.994999999999999718e-02
2.976980268000000152e+00 3.951999999999999957e-02
2.982934227999999965e+00 1.030999999999999972e-02
2.988900097000000144e+00 1.103200000000000014e-01
2.994877896999999844e+00 2.218100000000000072e-01
3.000867652999999802e+00 1.539300000000000113e-01
3.006869388000000143e+00 1.158399999999999985e-01
3.012883126999999828e+00 1.687800000000000133e-01
3.018908892999999871e+00 1.350600000000000134e-01
3.024946711000000121e+00 6.531000000000000694e-02
3.030996603999999817e+00 1.363800000000000012e-01
3.037058598000000220e+00 1.297500000000000042e-01
3.043132715000000044e+00 4.136000000000000093e-02
3.049218980000000023e+00 4.657000000000000028e-02
3.055317418000000007e+00 2.563999999999999960e-02
3.061428053000000205e+00 6.880000000000000004e-02
3.067550908999999937e+00 7.581000000000000238e-02
3.073686010999999940e+00 2.162999999999999992e-02
3.079833382999999980e+00 9.374000000000000388e-02
3.085993049999999904e+00 8.207000000000000406e-02
3.092165035999999922e+00 1.798999999999999905e-02
3.098349365999999883e+00 1.460999999999999972e-02
3.104546065000000077e+00 3.858000000000000318e-02
3.110755156999999826e+00 3.559999999999999970e-02
3.116976666999999868e+00 4.720000000000000237e-03
3.123210620000000048e+00 1.517199999999999938e-01
3.129457041999999856e+00 1.532799999999999996e-01
3.135715955999999860e+00 1.805599999999999983e-01
3.141987387999999992e+00 2.350899999999999934e-01
3.148271362000000018e+00 1.076300000000000034e-01
3.154567904999999950e+00 1.564200000000000035e-01
3.160877040999999998e+00 1.990200000000000025e-01
3.167198795000000011e+00 4.555899999999999950e-01
